Latitude,Longitude,Rainfall_mm
37.75,79.75,32
37.75,79.9167,32
37.75,80.0833,33
37.75,80.25,33
37.75,80.4167,33
37.75,80.5833,34
37.75,80.75,34
37.75,80.9167,34
37.75,81.0833,33
37.75,81.25,33
37.75,81.4167,33
37.75,81.5833,33
37.75,81.75,33
37.75,81.9167,32
37.75,82.0833,32
37.75,82.25,32
37.75,82.4167,31
37.75,82.5833,31
37.75,82.75,28
37.75,82.9167,27
37.75,83.0833,27
37.75,83.25,26
37.75,83.4167,24
37.75,83.5833,24
37.75,83.75,24
37.75,83.9167,24
37.75,84.0833,25
37.75,84.25,27
37.75,84.4167,28
37.75,84.5833,30
37.75,84.75,31
37.75,84.9167,34
37.75,85.0833,34
37.75,85.25,37
37.75,85.4167,40
37.75,85.5833,41
37.75,85.75,44
37.75,85.9167,49
37.75,86.0833,52
37.75,86.25,69
37.75,86.4167,96
37.75,86.5833,105
37.75,86.75,115
37.75,86.9167,120
37.75,87.0833,106
37.75,87.25,113
37.75,87.4167,132
37.75,87.5833,140
37.75,87.75,144
37.75,87.9167,153
37.75,88.0833,152
37.75,88.25,156
37.75,88.4167,157
37.75,88.5833,155
37.75,88.75,140
37.75,88.9167,145
37.75,89.0833,152
37.75,89.25,170
37.75,89.4167,148
37.75,89.5833,137
37.75,89.75,125
37.75,89.9167,104
37.75,90.0833,112
37.75,90.25,129
37.75,90.4167,159
37.75,90.5833,163
37.75,90.75,116
37.75,90.9167,84
37.75,91.0833,66
37.75,91.25,60
37.75,91.4167,56
37.75,91.5833,49
37.75,91.75,41
37.75,91.9167,41
37.75,92.0833,40
37.75,92.25,32
37.75,92.4167,29
37.75,92.5833,26
37.75,92.75,26
37.75,92.9167,26
37.75,93.0833,27
37.75,93.25,22
37.75,93.4167,24
37.75,93.5833,24
37.75,93.75,24
37.75,93.9167,26
37.75,94.0833,29
37.75,94.25,32
37.75,94.4167,35
37.75,94.5833,41
37.75,94.75,48
37.75,94.9167,60
37.75,95.0833,73
37.75,95.25,80
37.75,95.4167,88
37.75,95.5833,145
37.75,95.75,149
37.75,95.9167,140
37.75,96.0833,155
37.75,96.25,170
37.75,96.4167,179
37.75,96.5833,198
37.75,96.75,226
37.75,96.9167,235
37.5833,68.0833,233
37.5833,68.25,261
37.5833,68.4167,243
37.5833,68.5833,243
37.5833,68.75,269
37.5833,68.9167,313
37.5833,69.0833,468
37.5833,69.25,511
37.5833,69.4167,444
37.5833,69.5833,467
37.5833,69.75,560
37.5833,69.9167,623
37.5833,70.0833,682
37.5833,70.25,650
37.5833,70.4167,646
37.5833,70.5833,583
37.5833,70.75,574
37.5833,70.9167,495
37.5833,71.0833,481
37.5833,71.25,583
37.5833,71.4167,477
37.5833,71.5833,408
37.5833,71.75,346
37.5833,71.9167,511
37.5833,72.0833,585
37.5833,72.25,561
37.5833,72.4167,447
37.5833,72.5833,349
37.5833,72.75,422
37.5833,72.9167,282
37.5833,73.0833,244
37.5833,73.25,268
37.5833,73.4167,294
37.5833,73.5833,247
37.5833,73.75,194
37.5833,73.9167,181
37.5833,74.0833,141
37.5833,74.25,123
37.5833,74.4167,114
37.5833,74.5833,116
37.5833,74.75,103
37.5833,74.9167,111
37.5833,75.0833,122
37.5833,75.25,88
37.5833,75.4167,68
37.5833,75.5833,72
37.5833,75.75,75
37.5833,75.9167,75
37.5833,76.0833,60
37.5833,76.25,42
37.5833,76.4167,49
37.5833,76.5833,40
37.5833,76.75,32
37.5833,76.9167,31
37.5833,77.0833,29
37.5833,77.25,27
37.5833,77.4167,26
37.5833,77.5833,27
37.5833,77.75,27
37.5833,77.9167,26
37.5833,78.0833,26
37.5833,78.25,27
37.5833,78.4167,27
37.5833,78.5833,27
37.5833,78.75,28
37.5833,78.9167,28
37.5833,79.0833,29
37.5833,79.25,29
37.5833,79.4167,30
37.5833,79.5833,31
37.5833,79.75,32
37.5833,79.9167,32
37.5833,80.0833,33
37.5833,80.25,34
37.5833,80.4167,34
37.5833,80.5833,34
37.5833,80.75,33
37.5833,80.9167,34
37.5833,81.0833,34
37.5833,81.25,34
37.5833,81.4167,33
37.5833,81.5833,33
37.5833,81.75,33
37.5833,81.9167,32
37.5833,82.0833,33
37.5833,82.25,32
37.5833,82.4167,32
37.5833,82.5833,31
37.5833,82.75,30
37.5833,82.9167,29
37.5833,83.0833,27
37.5833,83.25,26
37.5833,83.4167,25
37.5833,83.5833,25
37.5833,83.75,26
37.5833,83.9167,26
37.5833,84.0833,28
37.5833,84.25,26
37.5833,84.4167,29
37.5833,84.5833,31
37.5833,84.75,33
37.5833,84.9167,35
37.5833,85.0833,38
37.5833,85.25,40
37.5833,85.4167,41
37.5833,85.5833,46
37.5833,85.75,48
37.5833,85.9167,53
37.5833,86.0833,68
37.5833,86.25,91
37.5833,86.4167,90
37.5833,86.5833,83
37.5833,86.75,83
37.5833,86.9167,91
37.5833,87.0833,91
37.5833,87.25,91
37.5833,87.4167,105
37.5833,87.5833,124
37.5833,87.75,147
37.5833,87.9167,162
37.5833,88.0833,189
37.5833,88.25,193
37.5833,88.4167,167
37.5833,88.5833,153
37.5833,88.75,144
37.5833,88.9167,129
37.5833,89.0833,118
37.5833,89.25,115
37.5833,89.4167,111
37.5833,89.5833,112
37.5833,89.75,133
37.5833,89.9167,139
37.5833,90.0833,134
37.5833,90.25,138
37.5833,90.4167,138
37.5833,90.5833,128
37.5833,90.75,151
37.5833,90.9167,138
37.5833,91.0833,104
37.5833,91.25,87
37.5833,91.4167,73
37.5833,91.5833,62
37.5833,91.75,52
37.5833,91.9167,44
37.5833,92.0833,43
37.5833,92.25,40
37.5833,92.4167,33
37.5833,92.5833,27
37.5833,92.75,27
37.5833,92.9167,25
37.5833,93.0833,26
37.5833,93.25,23
37.5833,93.4167,23
37.5833,93.5833,26
37.5833,93.75,26
37.5833,93.9167,25
37.5833,94.0833,27
37.5833,94.25,30
37.5833,94.4167,37
37.5833,94.5833,41
37.5833,94.75,48
37.5833,94.9167,59
37.5833,95.0833,70
37.5833,95.25,80
37.5833,95.4167,79
37.5833,95.5833,93
37.5833,95.75,113
37.5833,95.9167,120
37.5833,96.0833,126
37.5833,96.25,145
37.5833,96.4167,175
37.5833,96.5833,179
37.5833,96.75,191
37.5833,96.9167,200
37.4167,68.0833,201
37.4167,68.25,231
37.4167,68.4167,221
37.4167,68.5833,217
37.4167,68.75,262
37.4167,68.9167,312
37.4167,69.0833,422
37.4167,69.25,511
37.4167,69.4167,405
37.4167,69.5833,448
37.4167,69.75,589
37.4167,69.9167,705
37.4167,70.0833,700
37.4167,70.25,663
37.4167,70.4167,618
37.4167,70.5833,569
37.4167,70.75,523
37.4167,70.9167,464
37.4167,71.0833,456
37.4167,71.25,510
37.4167,71.4167,382
37.4167,71.5833,309
37.4167,71.75,432
37.4167,71.9167,555
37.4167,72.0833,481
37.4167,72.25,347
37.4167,72.4167,268
37.4167,72.5833,345
37.4167,72.75,383
37.4167,72.9167,344
37.4167,73.0833,270
37.4167,73.25,197
37.4167,73.4167,194
37.4167,73.5833,187
37.4167,73.75,173
37.4167,73.9167,166
37.4167,74.0833,162
37.4167,74.25,165
37.4167,74.4167,134
37.4167,74.5833,121
37.4167,74.75,98
37.4167,74.9167,106
37.4167,75.0833,123
37.4167,75.25,109
37.4167,75.4167,71
37.4167,75.5833,97
37.4167,75.75,74
37.4167,75.9167,65
37.4167,76.0833,60
37.4167,76.25,39
37.4167,76.4167,56
37.4167,76.5833,40
37.4167,76.75,33
37.4167,76.9167,29
37.4167,77.0833,28
37.4167,77.25,28
37.4167,77.4167,26
37.4167,77.5833,25
37.4167,77.75,25
37.4167,77.9167,24
37.4167,78.0833,23
37.4167,78.25,23
37.4167,78.4167,25
37.4167,78.5833,25
37.4167,78.75,26
37.4167,78.9167,28
37.4167,79.0833,30
37.4167,79.25,30
37.4167,79.4167,30
37.4167,79.5833,35
37.4167,79.75,33
37.4167,79.9167,33
37.4167,80.0833,34
37.4167,80.25,35
37.4167,80.4167,35
37.4167,80.5833,35
37.4167,80.75,35
37.4167,80.9167,35
37.4167,81.0833,35
37.4167,81.25,35
37.4167,81.4167,34
37.4167,81.5833,34
37.4167,81.75,34
37.4167,81.9167,33
37.4167,82.0833,33
37.4167,82.25,35
37.4167,82.4167,34
37.4167,82.5833,32
37.4167,82.75,32
37.4167,82.9167,32
37.4167,83.0833,30
37.4167,83.25,28
37.4167,83.4167,28
37.4167,83.5833,28
37.4167,83.75,27
37.4167,83.9167,28
37.4167,84.0833,28
37.4167,84.25,30
37.4167,84.4167,31
37.4167,84.5833,35
37.4167,84.75,36
37.4167,84.9167,38
37.4167,85.0833,41
37.4167,85.25,44
37.4167,85.4167,48
37.4167,85.5833,54
37.4167,85.75,70
37.4167,85.9167,82
37.4167,86.0833,104
37.4167,86.25,118
37.4167,86.4167,113
37.4167,86.5833,122
37.4167,86.75,110
37.4167,86.9167,134
37.4167,87.0833,141
37.4167,87.25,125
37.4167,87.4167,145
37.4167,87.5833,172
37.4167,87.75,188
37.4167,87.9167,182
37.4167,88.0833,181
37.4167,88.25,179
37.4167,88.4167,184
37.4167,88.5833,170
37.4167,88.75,159
37.4167,88.9167,138
37.4167,89.0833,126
37.4167,89.25,116
37.4167,89.4167,114
37.4167,89.5833,111
37.4167,89.75,112
37.4167,89.9167,111
37.4167,90.0833,117
37.4167,90.25,145
37.4167,90.4167,176
37.4167,90.5833,155
37.4167,90.75,139
37.4167,90.9167,142
37.4167,91.0833,151
37.4167,91.25,146
37.4167,91.4167,134
37.4167,91.5833,136
37.4167,91.75,90
37.4167,91.9167,59
37.4167,92.0833,49
37.4167,92.25,40
37.4167,92.4167,36
37.4167,92.5833,31
37.4167,92.75,27
37.4167,92.9167,26
37.4167,93.0833,25
37.4167,93.25,25
37.4167,93.4167,21
37.4167,93.5833,24
37.4167,93.75,25
37.4167,93.9167,27
37.4167,94.0833,28
37.4167,94.25,30
37.4167,94.4167,33
37.4167,94.5833,37
37.4167,94.75,43
37.4167,94.9167,51
37.4167,95.0833,57
37.4167,95.25,66
37.4167,95.4167,75
37.4167,95.5833,86
37.4167,95.75,81
37.4167,95.9167,88
37.4167,96.0833,113
37.4167,96.25,133
37.4167,96.4167,140
37.4167,96.5833,117
37.4167,96.75,120
37.4167,96.9167,133
37.25,68.0833,177
37.25,68.25,208
37.25,68.4167,189
37.25,68.5833,211
37.25,68.75,232
37.25,68.9167,266
37.25,69.0833,306
37.25,69.25,419
37.25,69.4167,407
37.25,69.5833,489
37.25,69.75,601
37.25,69.9167,694
37.25,70.0833,659
37.25,70.25,614
37.25,70.4167,568
37.25,70.5833,531
37.25,70.75,490
37.25,70.9167,429
37.25,71.0833,430
37.25,71.25,536
37.25,71.4167,407
37.25,71.5833,403
37.25,71.75,374
37.25,71.9167,363
37.25,72.0833,288
37.25,72.25,305
37.25,72.4167,369
37.25,72.5833,410
37.25,72.75,330
37.25,72.9167,247
37.25,73.0833,264
37.25,73.25,310
37.25,73.4167,328
37.25,73.5833,269
37.25,73.75,240
37.25,73.9167,228
37.25,74.0833,183
37.25,74.25,149
37.25,74.4167,159
37.25,74.5833,173
37.25,74.75,157
37.25,74.9167,148
37.25,75.0833,132
37.25,75.25,103
37.25,75.4167,68
37.25,75.5833,97
37.25,75.75,84
37.25,75.9167,54
37.25,76.0833,44
37.25,76.25,47
37.25,76.4167,57
37.25,76.5833,50
37.25,76.75,30
37.25,76.9167,30
37.25,77.0833,28
37.25,77.25,29
37.25,77.4167,28
37.25,77.5833,25
37.25,77.75,25
37.25,77.9167,23
37.25,78.0833,23
37.25,78.25,23
37.25,78.4167,23
37.25,78.5833,25
37.25,78.75,25
37.25,78.9167,25
37.25,79.0833,25
37.25,79.25,30
37.25,79.4167,32
37.25,79.5833,35
37.25,79.75,36
37.25,79.9167,34
37.25,80.0833,35
37.25,80.25,37
37.25,80.4167,36
37.25,80.5833,38
37.25,80.75,36
37.25,80.9167,36
37.25,81.0833,37
37.25,81.25,37
37.25,81.4167,35
37.25,81.5833,35
37.25,81.75,35
37.25,81.9167,34
37.25,82.0833,34
37.25,82.25,35
37.25,82.4167,35
37.25,82.5833,34
37.25,82.75,32
37.25,82.9167,32
37.25,83.0833,31
37.25,83.25,31
37.25,83.4167,30
37.25,83.5833,28
37.25,83.75,29
37.25,83.9167,31
37.25,84.0833,32
37.25,84.25,35
37.25,84.4167,34
37.25,84.5833,37
37.25,84.75,43
37.25,84.9167,47
37.25,85.0833,50
37.25,85.25,56
37.25,85.4167,71
37.25,85.5833,95
37.25,85.75,139
37.25,85.9167,149
37.25,86.0833,130
37.25,86.25,114
37.25,86.4167,110
37.25,86.5833,125
37.25,86.75,122
37.25,86.9167,131
37.25,87.0833,130
37.25,87.25,150
37.25,87.4167,160
